"TimestampUnix","Vehicles","Parkade"
"1717279140",22,"Rose"
"1717282740",21,"Rose"
"1717286340",14,"Rose"
"1717289940",10,"Rose"
"1717293540",7,"Rose"
"1717297140",6,"Rose"
"1717300740",6,"Rose"
"1717304340",6,"Rose"
"1717307940",6,"Rose"
"1717311540",6,"Rose"
"1717315140",7,"Rose"
"1717318740",11,"Rose"
"1717322340",12,"Rose"
"1717325940",14,"Rose"
"1717329540",17,"Rose"
"1717333140",27,"Rose"
"1717336740",31,"Rose"
"1717340340",53,"Rose"
"1717343940",57,"Rose"
"1717347540",51,"Rose"
"1717351140",15,"Rose"
"1717354740",7,"Rose"
"1717358340",7,"Rose"
"1717361940",6,"Rose"
"1717365540",4,"Rose"
"1717369140",2,"Rose"
"1717372740",1,"Rose"
"1717376340",0,"Rose"
"1717379940",0,"Rose"
"1717383540",0,"Rose"
"1717387140",0,"Rose"
"1717390740",0,"Rose"
"1717394340",1,"Rose"
"1717397940",7,"Rose"
"1717401540",29,"Rose"
"1717405140",108,"Rose"
"1717408740",156,"Rose"
"1717412340",190,"Rose"
"1717415940",199,"Rose"
"1717419540",209,"Rose"
"1717423140",226,"Rose"
"1717426740",213,"Rose"
"1717430340",177,"Rose"
"1717433940",85,"Rose"
"1717437540",41,"Rose"
"1717441140",26,"Rose"
"1717444740",15,"Rose"
"1717448340",7,"Rose"
"1717451940",1,"Rose"
"1717455540",3,"Rose"
"1717459140",0,"Rose"
"1717462740",0,"Rose"
"1717466340",0,"Rose"
"1717469940",0,"Rose"
"1717473540",0,"Rose"
"1717477140",1,"Rose"
"1717480740",1,"Rose"
"1717484340",7,"Rose"
"1717487940",37,"Rose"
"1717491540",120,"Rose"
"1717495140",186,"Rose"
"1717498740",214,"Rose"
"1717502340",223,"Rose"
"1717505940",218,"Rose"
"1717509540",216,"Rose"
"1717513140",200,"Rose"
"1717516740",173,"Rose"
"1717520340",149,"Rose"
"1717523940",215,"Rose"
"1717527540",256,"Rose"
"1717531140",253,"Rose"
"1717534740",237,"Rose"
"1717538340",22,"Rose"
"1717541940",4,"Rose"
"1717545540",3,"Rose"
"1717549140",0,"Rose"
"1717552740",1,"Rose"
"1717556340",1,"Rose"
"1717559940",1,"Rose"
"1717563540",0,"Rose"
"1717567140",2,"Rose"
"1717570740",7,"Rose"
"1717574340",37,"Rose"
"1717577940",124,"Rose"
"1717581540",193,"Rose"
"1717585140",221,"Rose"
"1717588740",229,"Rose"
"1717592340",244,"Rose"
"1717595940",245,"Rose"
"1717599540",294,"Rose"
"1717603140",356,"Rose"
"1717606740",257,"Rose"
"1717610340",190,"Rose"
"1717613940",93,"Rose"
"1717617540",27,"Rose"
"1717621140",18,"Rose"
"1717624740",10,"Rose"
"1717628340",10,"Rose"
"1717631940",9,"Rose"
"1717635540",7,"Rose"
"1717639140",7,"Rose"
"1717642740",7,"Rose"
"1717646340",7,"Rose"
"1717649940",6,"Rose"
"1717653540",6,"Rose"
"1717657140",12,"Rose"
"1717660740",34,"Rose"
"1717664340",100,"Rose"
"1717667940",170,"Rose"
"1717671540",208,"Rose"
"1717675140",227,"Rose"
"1717677240",222,"Rose"
"1717703940",216,"Rose"
"1717707540",205,"Rose"
"1717711140",187,"Rose"
"1717714740",162,"Rose"
"1717718340",102,"Rose"
"1717721940",160,"Rose"
"1717725540",240,"Rose"
"1717729140",245,"Rose"
"1717732740",232,"Rose"
"1717736340",11,"Rose"
"1717739940",10,"Rose"
"1717743540",4,"Rose"
"1717747140",3,"Rose"
"1717750740",4,"Rose"
"1717754340",4,"Rose"
"1717757940",4,"Rose"
"1717761540",4,"Rose"
"1717765140",4,"Rose"
"1717768740",7,"Rose"
"1717772340",25,"Rose"
"1717775940",74,"Rose"
"1717779540",124,"Rose"
"1717783140",150,"Rose"
"1717786740",145,"Rose"
"1717790340",152,"Rose"
"1717793940",145,"Rose"
"1717797540",196,"Rose"
"1717801140",427,"Rose"
"1717804740",392,"Rose"
"1717808340",369,"Rose"
"1717811940",346,"Rose"
